TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	mutL-miaA-hfq-hflXKC	+
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	yjeFE-amiB-mutL-miaA-hfq-hflXKC	+
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	hfq-hflXKC	+
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	miaA-hfq-hflXKC	+
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	hfq-hflXKC1	+
tsaE-amiB-mutL-miaA-hfq-hflXKC	+	hfq-hflXKC2	+
ldrC1	-	rdlC1	+
ycgZ-ymgA-ariR-ymgC	+	ariR	+
ycgZ-ymgA-ariR-ymgC	+	ymgC	+
uppS-cdsA	+	dxr-uppS-cdsA1	+
uppS-cdsA	+	dxr-uppS-cdsA2	+
uppS-cdsA	+	dxr-uppS-cdsA3	+
uppS-cdsA	+	dxr-uppS-cdsA4	+
uppS-cdsA	+	rseP	+
uppS-cdsA	+	cdsA1	+
uppS-cdsA	+	cdsA2	+
rph-pyrE	-	rph	-
macB1	+	macAB	+
macB2	+	macAB	+
csrA	-	csrAp3 // csrA	-
micA	+	luxS	-
insH-51	-	stfR-tfaR	+
insH-51	-	ynaA-lomR	+
pcnB-folK	-	dksA-gluQ	-
recAX	-	recA	-
aspS	-	nudB-yebC-ruvC	-
tcyJ	-	fliAZY	-
thrLABC	+	thrL	+
thrLABC	+	yaaX1	+
malY	+	malXY	+
ymdB	+	clsC	+
ymdB	+	ymdAB-clsC	+
ymdB	+	ymdB-clsC	+
ymdB	+	ymdAB	+
yeaP	+	yoaF1	-
dacB1	+	greA	-
phoA-psiF	+	psiF	+
ygiV1	-	ygiW2	-
ygiV2	-	ygiW1	-
rpmBG-mutM	-	mutM	-
rpmBG-mutM	-	mutM1	-
rpmBG-mutM	-	mutM2	-
rpmBG-mutM	-	yicR-rpmBG	-
rpmBG-mutM	-	yicR-rpmBG-mutM	-
bioP	+	metR	-
dmsC	+	dmsABC	+
ftsQ	+	ftsQAZ	+
ftsQ	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsQ	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsQ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
nlpD-rpoS	-	rpoS	-
ldcA1	-	emtA1	+
sra	-	bdm-sra	-
csrAp3 // csrA	-	csrA	-
nanXY	+	nanY	+
chiX	+	ybaP1	-
chiX	+	ybaP2	-
chiX	+	ybaP3	-
yhhN1	+	yhhM2	-
yhhN2	+	yhhM1	-
ascB	+	ascFB	+
otsA	-	otsBA	-
yfgM	-	bamB-der	-
asnC	-	asnC-mioC	-
asnC	-	asnC-mioC-mnmG	-
rpoS	-	nlpD-rpoS	-
mutY-yggX	+	yggX-mltC-nupG	+
mutY-yggX	+	mutY-yggX-mltC	+
mutY-yggX	+	yggX-mltC	+
mutY-yggX	+	yggX	+
mutY-yggX	+	mutY-yggX-mltC-nupG	+
damX-dam-rpe-gph-trpS	-	dam-rpe-gph-trpS	-
damX-dam-rpe-gph-trpS	-	rpe-gph-trpS	-
damX-dam-rpe-gph-trpS	-	trpS	-
damX-dam-rpe-gph-trpS	-	aroKB-damX-dam-rpe-gph-trpS	-
rapA	-	hepA	-
rapA	-	rapA-rluA	-
rapA	-	polB	-
yfaVU	-	yfaXWVU	-
btuD	-	btuCED	-
yeiR-lpxT1	+	lpxT	+
yhdJ1	+	dusB-fis	+
ybaN3	+	priC-ybaM	-
aes	-	hemH	+
aes	-	gsk	+
ybaQ	+	ybaP1	-
ybaQ	+	ybaP2	-
ybaQ	+	ybaP3	-
nudG1	+	ynjH	-
sdiA	-	sdiA1	-
sdiA	-	sdiA2	-
sdiA	-	sdiA3	-
sdiA	-	sdiA4	-
sdiA	-	sdiA5	-
sdiA	-	sdiA6	-
sdiA	-	sdiA7	-
sdiA	-	sdsN	+
rtcR	+	glpEGR	-
rtcR	+	glpR	-
rtcR	+	glpGR	-
yfbO2	+	yfbN1	-
yfbO2	+	yfbP1	+
yfbO3	+	yfbN1	-
yfbO3	+	yfbN2	-
yfbO3	+	yfbP1	+
yqeF2	-	yqeG1	+
yqeF2	-	yqeG3	+
rimP-nusA-infB	-	metY-yhbC-nusA-infB	-
rimP-nusA-infB	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-
rimP-nusA-infB	-	nusA-infB	-
